歐洲西部-北大西洋-城鎮,,,
▌zh,▌jp,▌en,▌zh2
希洪,ヒホン,Gijón,
里斯本,リスボン,Lisboa,
法魯,ファロ,Faro,
塞維爾,セビリア,Sevilla,塞維利亞
馬拉加,マラガ,Málaga,
休達,セウタ,Ceuta,
卡薩布蘭卡,カサブランカ,Casa Blanca,達爾貝達
阿爾金,アルギン,Arguin,
馬德拉,マディラ,Madeira,
拉斯帕爾馬斯,ラスパルマス,Las Palmas,
亞速爾,アゾレス,Azores,
奧波多,オポルト,Porto,波爾圖
歐洲西部-西地中海-城鎮,,,
▌zh,▌jp,▌en,▌zh2
瓦倫西亞,バレンシア,Valencia,
巴塞隆納,バルセロナ,Barcelona,
帕爾馬,パルマ,Palma,
蒙彼利埃,モンペリエ,Montpellier,
馬賽,マルセイユ,Marseille,
熱那亞,ジェノヴァ,Genova,
比薩,ピサ,Pisa,
卡爾維,カルヴィ,Calvi,
薩沙里,サッサリ,Sassari,薩斯沙利
卡利亞里,カリアリ,Cagliari,卡拉里
阿爾及爾,アルジェ,Algiers,
突尼斯,チュニス,Tunisia,突尼西亞
的黎波里,トリポリ,Tripoli,
歐洲西部-非城鎮,,,
▌zh,▌jp,▌en,▌zh2
摩洛哥西岸,モロッコ西岸,,
非洲西北岸,アフリカ北西岸,,
非洲北岸,アフリカ北岸,,
比斯開灣南岸,ビスケー湾南岸,,
歐洲北部-北海-城鎮,,,
▌zh,▌jp,▌en,▌zh2
聖彼得堡,サンクトペテルブルク,Saint Petersburg,
科科拉,コッコラ,Kokkola,
斯德哥爾摩,ストックホルム,Stockholm,
里加,リガ,Rīga,
維斯比,ヴィスビー,Visby,
奧斯陸,オスロ,Oslo,
哥本哈根,コペンハーゲン,Copenhagen,
卑爾根,ベルゲン,Bergen,
但澤,ダンツィヒ,Danzig,
盧貝克,リューベック,Lübeck,呂貝克
漢堡,ハンブルク,Hamburg,
不來梅,ブレーメン,Bremen,不萊梅
格羅寧根,フローニンゲン,Groningen,
阿姆斯特丹,アムステルダム,Amsterdam,
海爾德,ヘルデル,Helder,登海爾德
安特衛普,アントワープ,Antwerp,
愛丁堡,エディンバラ,Edinburgh,
倫敦,ロンドン,London,
多佛,ドーバー,Dover,多佛爾
普利茅斯,プリマス,Plymouth,
都柏林,ダブリン,Dublin,
加來,カレー,Calais,加萊
南特,ナント,Nantes,
波爾多,ボルドー,Bordeaux,
歐洲北部-非城鎮,,,
▌zh,▌jp,▌en,▌zh2
南特南部,ナント南,,
法蘭西西北岸,フランス北西岸,,
加來南部,カレー南,,
大不列顛島南岸,ブリテン島南岸,,
大不列顛島東岸,ブリテン島東岸,,
大不列顛島北岸,ブリテン島北,,
都柏林北部,ダブリン北,,
盧貝克東南岸,リューベック南東,,
波羅的海西南岸,バルト海南西,,
波羅的海東南岸,バルト海南東,,
波羅的海北岸,バルト海北,,
波斯尼亞灣西岸,ボスニア湾西岸,Gulf of Bothnia,波的尼亞灣
斯堪地那維亞西岸,スカンジナビア西岸,,
奧斯陸北岸,オスロ北,,
歐洲東部-城鎮,,,
▌zh,▌jp,▌en,▌zh2
拿坡里,ナポリ,Naples,那不勒斯
錫拉庫薩,シラクサ,Siracusa,"叙拉古,希拉庫莎"
安科納,アンコナ,Ancona,
威尼斯,ヴェネツィア,Venezsia,
第里雅斯特,トリエステ,Trieste,里雅斯特
扎達爾,ザダール,Zadar,
拉古薩,ラグーザ,Republic of Ragusa,
班加西,ベンガジ,Benghazi,
亞歷山大,アレクサンドリア,Alexandria,亞歷山卓
開羅,カイロ,Cairo,
貝魯特,ベイルート,Beirut,
雅法,ヤッファ,Jaffa,
法馬古斯塔,ファマガスタ,Famagusta,
雅典,アテネ,Athens,
甘地亞,カンディア,candia,坎迪亞
薩洛尼卡,サロニカ,Thessaloniki,塞薩洛尼基
伊斯坦堡,イスタンブール,İstanbul,
特拉布宗,トレビゾント,Trabzon,特拉布松
卡法,カッファ,Kaffa,費奧多西亞
奧得薩,オデッサ,Odessa,敖得薩
塞瓦斯托波爾,セヴァストポリ,Sevastopol,塞凡堡
歐洲東部-非城鎮,,,
▌zh,▌jp,▌en,▌zh2
地中海南部非洲北岸,地中海南アフリカ北岸,,
埃及北岸,エジプト北岸,,
開鑼對岸,カイロ対岸,,
尼羅河中游,ナイル川中部,,
尼羅河上游,ナイル川上流,,
土耳其西岸,トルコ西岸,,
土耳其北岸,トルコ北岸,,
黑海東岸,黒海東岸,,
黑海西北岸,黒海北西岸,,
非洲西部-城鎮,,,
▌zh,▌jp,▌en,▌zh2
阿爾金,アルギン,Arguim,
維德角,カーボヴェルデ,Cape Verde,
塞拉里昂,シエラレオネ,Republic of Sierra Leone,獅子山
阿比讓,アビジャン,Abidjan,阿必尚
聖喬治,サンジョルジュ,St Georges,埃爾米納城堡
貝南,ベニン,Benin,貝寧
聖多美,サントメ,São Tomé,
杜阿拉,ドゥアラ,Douala,
羅安達,ルアンダ,Luanda,
非洲西部-非城鎮,,,
▌zh,▌jp,▌en,▌zh2
非洲西岸,アフリカ西岸,,
大西洋中部南岸,大西洋中央西岸,,
非洲幾內亞灣北岸,アフリカギニア湾北,,
非洲南部-城鎮,,,
▌zh,▌jp,▌en,▌zh2
本格拉,ベンゲラ,Benguela,本吉拉
卡里比布,カリビブ,Karibib,
開普敦,ケープ,Cape Town,
納塔爾,ナタール,Natal,
索法拉,ソファラ,Sofala,
莫三比克,モザンビーク,Moçambique,莫三比亞
塔馬塔夫,タマタブ,Tamatave,圖阿馬西納
非洲南部-非城鎮,,,
▌zh,▌jp,▌en,▌zh2
非洲西南岸,アフリカ南西岸,,
非洲南南西岸,アフリカ南南西岸,,
非洲南岸,アフリカ南岸,,
非洲南南東岸,アフリカ南南東岸,,
非洲東南岸,アフリカ南東岸,,
馬達加斯加西岸,マダガスカル西岸,,
非洲東部&印度-城鎮,,,
▌zh,▌jp,▌en,▌zh2
基爾瓦,キルワ,Kilwa,基盧瓦
桑給巴爾,ザンジバル,Zanzibar,安古迦島
蒙巴薩,モンバサ,Mombasa,
麻林地,マリンディ,Malindi,馬林迪
摩加迪休,モガディシオ,Mogadishu,"哈馬,木骨都束"
索科特拉,ソコトラ,Socotra,
澤拉 ,セイラ,??,
馬薩瓦,マッサワ,Massawa,
蘇伊士,スエズ,Suez,
吉達,ジェッダ,Jeddah,
亞丁,アデン,Aden,
杜法爾,ジョファール,??,
馬斯喀特,マスカット,Muscat,
巴士拉,バスラ,Basra,巴斯拉
荷姆茲,ホルムズ,Ormuz,忽里模子
第烏,ディヴ,Diu,
果阿,ゴア,Goa,
卡利卡特,カリカット,Calicut,科澤科德
柯欽,コチン,Cochin,柯枝
錫蘭,セイロン,Ceylon,斯里蘭卡
本地治里,ポンディシェリ,Pondicherry,朋迪榭里
默蘇利珀德姆,マスリパタム,Machilipatnam,
加爾各答,カルカッタ,Kolkata,
非洲東部&印度-非城鎮,,,
▌zh,▌jp,▌en,▌zh2
蒙巴薩西部,モンバサ西,,
印度洋非洲東岸,インド洋アフリカ東岸,,
阿拉伯海西北岸,アラビア海北西岸,,
馬薩瓦西南部,マッサワ西南,,
紅海西岸,紅海西岸,,
紅海東岸,紅海東岸,,
波斯灣北岸,ペルシャ湾北岸,,
巴士拉西北部,バスラ北西,,
阿拉伯海東北岸,アラビア海北東岸,,
印度西岸,インド西岸,,
卡利卡特北部,カリカット北,,
錫蘭東部,セイロン東,,
本地治里南部,ポンディシェリ南,,
加爾各答西南部,カルカッタ南西,,
美洲北部-加勒比海-城鎮,,,
▌zh,▌jp,▌en,▌zh2
美洲北部-非城鎮,,,
▌zh,▌jp,▌en,▌zh2
加勒比&中美-加勒比海-城鎮,,,
▌zh,▌jp,▌en,▌zh2
聖胡安,サンフアン,San Juan,波多黎各
聖多明哥,サントドミンゴ,Santo Domingo,
牙買加,ジャマイカ,Jamaica,
聖地牙哥,サンティアゴ,Santiago de Cuba,聖地亞哥
哈瓦那,ハバナ,Havana,
拿騷,ナッソー,Nassau,拿索
加勒比&中美-中南美東岸-城鎮,,,
▌zh,▌jp,▌en,▌zh2
維拉克魯斯,ヴェラクルス,Veracruz,"韋拉克魯斯,維拉克魯茲"
梅里達,メリダ,Mérida,
特魯希略,トルヒーヨ,Trujillo,
波多貝羅,ポルトベロ,Portobelo,波托韋洛
大開曼,グランドケイマン,Grand Cayman,
馬拉開波,マラカイボ,Maracaibo,
威廉斯塔德,ウィレムスタッド,Willemstad,
加拉卡斯,カラカス,Caracas,卡拉卡斯
卡宴,カイエンヌ,Cayenne,開雲
伯南布哥,ペルナンブコ,Pernambuco,
加勒比&中美-中南美西岸-城鎮,,,
▌zh,▌jp,▌en,▌zh2
阿卡普爾科,アカプルコ,Acapulco,阿卡波可
瓜地馬拉,グァテマラ,Guatemala,
巴拿馬,パナマ,Panamá,
蘭巴耶克,ランバイェケ,Lambayeque,
通貝斯,トゥンベス,Tumbes,
南太平洋-城鎮,,,
▌zh,▌jp,▌en,▌zh2
希瓦瓦,ヒバオア,Hiva Oa,未標定
夏威夷,ハワイ,Hawaii,未標定
加勒比&中美-非城鎮,,,
▌zh,▌jp,▌en,▌zh2
墨西哥灣西南岸,メキシコ湾南西岸,,
南美北岸高地,南米北岸高地,,
南美東北海岸,南米北東岸,,
亞馬遜河上游,アマゾン川上流,,亞馬孫河
南美西北岸,南米北西岸,,